Complexity,Loss,Equation
1,0.006500505,"0.02988318"
3,0.0064293183,"0.035715573 / x0"
4,0.005981251,"0.17628616 / exp(x1)"
5,0.0049697645,"0.20159723 - (x1 * 0.023322932)"
6,0.0039650872,"(x0 / exp(x1)) * 0.099308826"
7,0.0033303464,"x0 / (-99.54037 / (x1 - 8.236537))"
8,0.0032000141,"(x0 ^ (0.2532661 ^ exp(x1))) - 0.9778048"
9,0.0028239726,"((x0 * 0.0919289) / (1.1477369 - x1)) - -0.06580896"
10,0.002562315,"(-0.22605544 * (log(x0) / (x1 - 0.7926968))) + 0.051602066"
11,0.0021461989,"0.05411543 - (((x0 + -1.3661101) / (0.8029084 - x1)) * -0.111582346)"
12,0.0021397816,"(((x0 + -1.3631276) / (0.28055057 - sqrt(x1))) * 0.038951207) - -0.054112915"
13,0.0021372638,"((x0 + -1.3637065) * (0.023034895 / (0.16599005 - sqrt(sqrt(x1))))) - -0.05412625"
14,0.002136164,"((x0 + -1.3633438) * (0.017709218 / (0.12764683 - sqrt(sqrt(sqrt(x1)))))) - -0.05412649"
15,0.0021356437,"(((x0 + -1.3628671) / (0.111785345 - sqrt(sqrt(sqrt(sqrt(x1)))))) * 0.015504736) - -0.054051675"
16,0.0021353932,"((x0 + -1.3638906) * (0.014513613 / (0.104544446 - sqrt(sqrt(sqrt(sqrt(sqrt(x1)))))))) + 0.054083444"
17,0.0021291329,"(((x0 + -0.9698762) - (x1 / ((0.56031317 ^ x0) + 1.9570267))) / (0.9266853 - x1)) * 0.1285632"
18,0.0021290735,"(((x0 + -0.9685835) - (x1 / (sqrt(0.4045588 ^ x0) + 1.8948362))) * -0.13024135) / (x1 - 0.9400494)"
19,0.002119414,"(((-0.9884688 - x1) / (x0 ^ 0.36113)) + x0) * (-0.05373765 / ((x1 / (x0 ^ 0.31857052)) - 0.4311397))"
20,0.0021125358,"((((-0.9750901 - x1) / (x0 ^ 0.34648004)) + x0) * -0.019634593) / ((x1 / exp(sqrt(sqrt(x0)))) - 0.15745918)"
21,0.0021086123,"((x0 + ((-0.7442909 - x1) / (sqrt(x0) * 0.7524634))) * -0.035114404) / ((x1 / sqrt(x0 + 0.26597273)) - 0.28973022)"
23,0.002089271,"(((-0.97759515 - x1) / (x0 ^ 0.29748645)) + x0) * (-0.038465265 / ((x1 / (((x0 - x1) * 0.34288904) + 3.3647866)) - 0.30443802))"
26,0.0020890601,"((((-0.9239176 - x1) / sqrt(x0 ^ 0.6537455)) + (x0 / 1.0649309)) / ((x1 / (((x0 - x1) * 0.35544813) + 3.3661432)) - 0.30372295)) * -0.040607873"
27,0.0020849584,"((x0 + ((-0.98926115 - x1) / (x0 ^ 0.2755306))) * -0.05938113) / ((x1 / ((x1 * ((1.2882605 - (x1 - x0)) * 0.032968856)) + 1.9317545)) - 0.4659487)"
29,0.0020809588,"((x0 + ((-0.9853259 - x1) / (x0 ^ 0.34316915))) * -0.058874566) / ((x1 / ((((x1 - x0) * (1.2878413 - (x1 - x0))) * 0.03817857) + 1.9325414)) - 0.4691634)"
