Complexity,Loss,Equation
1,0.007132508,"0.028368104"
3,0.007074343,"0.03574419 / x0"
4,0.0061745415,"0.17611066 / exp(x1)"
5,0.0056852084,"0.1789457 / (1.3187232 ^ x1)"
6,0.0036267198,"x0 / (exp(x1) + 9.074938)"
7,0.0029291378,"x0 / ((x1 ^ x0) + 10.002761)"
9,0.0028643797,"0.06477593 / sqrt(sqrt((x1 + 0.17868333) ^ x0))"
10,0.0026115915,"(x0 * 0.06826549) / ((x1 ^ log(x0)) + 0.6276872)"
12,0.0025499917,"(x0 * 0.051292308) / (((x1 + 0.5513062) ^ log(x0)) + 0.07153119)"
13,0.002226502,"((0.06491236 / sqrt((x1 + 0.4466263) ^ log(x0))) + -0.011995892) * x0"
15,0.002203942,"((0.06491236 / sqrt((x1 + 0.4466263) ^ log(x0 + -0.097888425))) + -0.011995892) * x0"
17,0.002192197,"(x0 * -1.0227485) * ((-0.052380238 / sqrt((x1 + 0.342613) ^ log(x0 + -0.12746404))) + 0.01011119)"
19,0.0021704526,"(((-0.05012937 / sqrt(((x1 * 0.78387743) + 0.35403937) ^ log(x0 + -0.14118186))) + 0.011437379) * x0) * -1.1132917"
20,0.0021203936,"(0.53466326 / sqrt(sqrt(((x1 * 0.062942475) + 0.57857835) ^ x0) + exp(0.21988308 - (x1 + x0)))) + -0.4793213"
22,0.00210507,"(0.3191938 / (exp(0.15295874 - ((x1 + x0) ^ 1.5604951)) + sqrt(sqrt(((x1 * 0.090197496) + 0.4765081) ^ x0)))) + -0.2546458"
23,0.002104452,"(0.32424602 / (exp(0.1441418 - ((x1 + x0) ^ 1.9391003)) + sqrt(sqrt(sqrt(((x1 * 0.1521305) + 0.2318622) ^ x0))))) + -0.25777563"
25,0.0021041434,"(0.32911777 / (sqrt(sqrt(sqrt(((x1 * 0.15074423) + 0.23533382) ^ x0))) + exp((x0 + -0.86728907) - ((x0 ^ x0) + x1)))) + -0.2625532"
26,0.0020986942,"(0.2951426 / (sqrt(sqrt(sqrt(((x1 * 0.17245118) + 0.21441804) ^ x0))) + exp(((0.36936328 - x0) * x0) - (sqrt(x1) / x0)))) + -0.22153093"
27,0.0020969673,"(0.29519677 / (sqrt(sqrt(sqrt(((x1 * 0.17427857) + 0.21482795) ^ x0))) + exp(((0.37563777 - x0) * sqrt(x0)) - (sqrt(x1) / x0)))) + -0.21989177"
