Complexity,Loss,Equation
1,0.0071325083,"0.02836559"
3,0.00630126,"x1 * -0.052001327"
4,0.006209193,"x1 * sin(-0.03807267)"
5,0.005406292,"(x1 * -0.03807267) + 0.027035303"
6,0.005045786,"0.013418467 / exp(x0 * x1)"
7,0.004548673,"x1 * (-0.056672327 * exp(sin(x0)))"
8,0.004450838,"((x1 - 0.89545715) * -0.056672327) * cos(x0)"
9,0.002335825,"(0.7947845 - ((x0 + 1.0869329) * x1)) * 0.06328636"
11,0.0023356576,"(0.9031449 - ((x0 + 1.0832053) * (x1 * 1.1307917))) * 0.05582063"
18,0.0022574414,"sin(0.02609925 * (exp((x0 - (0.19718823 * x1)) * (x1 * (sin(2.7431762) / -0.42034447))) - x0))"
19,0.0022031874,"sin((exp(((x0 - (x1 * 0.7717063)) * -0.73826176) * x1) - (x0 + x1)) * 0.02609055) * 1.0727881"
21,0.0021078056,"sin((exp(((x0 - (x1 * 0.77170664)) * x1) * -0.738262) - ((x0 + x1) * 0.78511745)) * 0.026090363) * 1.0727881"
23,0.0021074452,"sin((exp((((x0 - (x1 * 0.77170664)) * x1) * 0.31032434) / -0.4203445) - ((x0 + x1) * 0.78511745)) * 0.026090384) * 1.0727881"
28,0.002083447,"(((x1 - x0) * (-1.0755024 - ((cos(x0 * x0) / exp(x0 / (x1 + x0))) * ((x1 - sin(x1)) / 1.0826288)))) * -0.030421043) + 0.011969687"
