Complexity,Loss,Equation
1,0.0073323785,"0.028771788"
3,0.006315889,"x1 * -0.04294769"
4,0.006248997,"0.0036925853 / exp(x1)"
5,0.005487958,"(x1 + -0.6699773) * -0.042946957"
6,0.005152757,"0.15469164 - exp(x1 + -2.290644)"
7,0.0048370203,"x1 * (0.0037933988 / (x0 - 0.7598882))"
9,0.0035611638,"(x1 * (-0.0031563868 / (x0 - 0.7007097))) / x0"
11,0.00325811,"((x1 * (-0.0029085872 / (x0 - 0.7021997))) / x0) + 0.017697845"
13,0.0025049876,"(((-0.0033353453 / (x0 - 0.6998888)) * x1) / x0) + (x0 * -0.032834556)"
15,0.0022170416,"((-0.0030172481 / (x0 - 0.70229465)) * (x1 / x0)) + ((x0 * -0.032453377) - -0.017356819)"
17,0.0021715434,"((x0 * -0.031347692) + ((x1 - 0.24444488) * ((-0.0029659208 / (x0 - 0.7012513)) / x0))) - -0.01770454"
20,0.002161748,"((exp(x0 * 0.28520718) * -0.092652515) - -0.11448041) + ((((x1 - 0.29228246) / x0) * -0.0029507254) / (x0 - 0.7003222))"
